datetime,value,areaAnalisi
2024-08-15 19:30:00,22382,Cagliari - 001
2024-08-15 19:30:00,16110,Cagliari - 000
2024-08-15 19:15:00,139828,Intero Comune
2024-08-15 19:15:00,8420,Cagliari - 008
2024-08-15 19:15:00,8076,Cagliari - 011
2024-08-15 19:15:00,6910,Cagliari - 007
2024-08-15 19:15:00,14708,Cagliari - 010
2024-08-15 19:15:00,11889,Cagliari - 009
2024-08-15 19:15:00,7327,Cagliari - 012
2024-08-15 19:15:00,9848,Cagliari - 005
2024-08-15 19:15:00,7996,Cagliari - 006
2024-08-15 19:15:00,11334,Cagliari - 002
2024-08-15 19:15:00,2513,Cagliari - 003
2024-08-15 19:15:00,12221,Cagliari - 004
2024-08-15 19:15:00,22161,Cagliari - 001
2024-08-15 19:15:00,16425,Cagliari - 000
2024-08-15 19:00:00,139120,Intero Comune
2024-08-15 19:00:00,8470,Cagliari - 008
2024-08-15 19:00:00,7902,Cagliari - 011
2024-08-15 19:00:00,6823,Cagliari - 007
2024-08-15 19:00:00,14787,Cagliari - 010
2024-08-15 19:00:00,11615,Cagliari - 009
2024-08-15 19:00:00,7596,Cagliari - 012
2024-08-15 19:00:00,9768,Cagliari - 005
2024-08-15 19:00:00,7940,Cagliari - 006
2024-08-15 19:00:00,11273,Cagliari - 002
2024-08-15 19:00:00,2558,Cagliari - 003
2024-08-15 19:00:00,12099,Cagliari - 004
2024-08-15 19:00:00,21551,Cagliari - 001
2024-08-15 19:00:00,16738,Cagliari - 000
2024-08-15 18:45:00,137447,Intero Comune
2024-08-15 18:45:00,8406,Cagliari - 008
2024-08-15 18:45:00,7812,Cagliari - 011
2024-08-15 18:45:00,6594,Cagliari - 007
2024-08-15 18:45:00,14369,Cagliari - 010
2024-08-15 18:45:00,11430,Cagliari - 009
2024-08-15 18:45:00,7894,Cagliari - 012
2024-08-15 18:45:00,9821,Cagliari - 005
2024-08-15 18:45:00,7948,Cagliari - 006
2024-08-15 18:45:00,11102,Cagliari - 002
2024-08-15 18:45:00,2521,Cagliari - 003
2024-08-15 18:45:00,11887,Cagliari - 004
2024-08-15 18:45:00,21106,Cagliari - 001
2024-08-15 18:45:00,16557,Cagliari - 000
2024-08-15 18:30:00,136451,Intero Comune
2024-08-15 18:30:00,8178,Cagliari - 008
2024-08-15 18:30:00,7747,Cagliari - 011
2024-08-15 18:30:00,6507,Cagliari - 007
2024-08-15 18:30:00,14155,Cagliari - 010
2024-08-15 18:30:00,11221,Cagliari - 009
2024-08-15 18:30:00,8263,Cagliari - 012
2024-08-15 18:30:00,9724,Cagliari - 005
2024-08-15 18:30:00,7988,Cagliari - 006
2024-08-15 18:30:00,11138,Cagliari - 002
2024-08-15 18:30:00,2424,Cagliari - 003
2024-08-15 18:30:00,11822,Cagliari - 004
2024-08-15 18:30:00,20773,Cagliari - 001
2024-08-15 18:30:00,16511,Cagliari - 000
2024-08-15 18:15:00,135210,Intero Comune
2024-08-15 18:15:00,8039,Cagliari - 008
2024-08-15 18:15:00,7588,Cagliari - 011
2024-08-15 18:15:00,6364,Cagliari - 007
2024-08-15 18:15:00,14004,Cagliari - 010
2024-08-15 18:15:00,11249,Cagliari - 009
2024-08-15 18:15:00,8559,Cagliari - 012
2024-08-15 18:15:00,9656,Cagliari - 005
2024-08-15 18:15:00,7855,Cagliari - 006
2024-08-15 18:15:00,11113,Cagliari - 002
2024-08-15 18:15:00,2381,Cagliari - 003
2024-08-15 18:15:00,11522,Cagliari - 004
2024-08-15 18:15:00,20301,Cagliari - 001
2024-08-15 18:15:00,16579,Cagliari - 000
2024-08-15 18:00:00,134537,Intero Comune
2024-08-15 18:00:00,8045,Cagliari - 008
2024-08-15 18:00:00,7540,Cagliari - 011
2024-08-15 18:00:00,6408,Cagliari - 007
2024-08-15 18:00:00,13862,Cagliari - 010
2024-08-15 18:00:00,11251,Cagliari - 009
2024-08-15 18:00:00,8693,Cagliari - 012
2024-08-15 18:00:00,9535,Cagliari - 005
2024-08-15 18:00:00,7855,Cagliari - 006
2024-08-15 18:00:00,10958,Cagliari - 002
2024-08-15 18:00:00,2454,Cagliari - 003
2024-08-15 18:00:00,11539,Cagliari - 004
2024-08-15 18:00:00,20104,Cagliari - 001
2024-08-15 18:00:00,16293,Cagliari - 000
2024-08-15 17:45:00,133369,Intero Comune
2024-08-15 17:45:00,7994,Cagliari - 008
2024-08-15 17:45:00,7541,Cagliari - 011
2024-08-15 17:45:00,6310,Cagliari - 007
2024-08-15 17:45:00,13553,Cagliari - 010
2024-08-15 17:45:00,11159,Cagliari - 009
2024-08-15 17:45:00,8771,Cagliari - 012
2024-08-15 17:45:00,9488,Cagliari - 005
2024-08-15 17:45:00,7758,Cagliari - 006
2024-08-15 17:45:00,10858,Cagliari - 002
2024-08-15 17:45:00,2413,Cagliari - 003
2024-08-15 17:45:00,11472,Cagliari - 004
2024-08-15 17:45:00,19755,Cagliari - 001
2024-08-15 17:45:00,16297,Cagliari - 000
2024-08-15 17:30:00,132978,Intero Comune
2024-08-15 17:30:00,7955,Cagliari - 008
2024-08-15 17:30:00,7632,Cagliari - 011
2024-08-15 17:30:00,6311,Cagliari - 007
2024-08-15 17:30:00,13493,Cagliari - 010
2024-08-15 17:30:00,11040,Cagliari - 009
2024-08-15 17:30:00,9007,Cagliari - 012
2024-08-15 17:30:00,9367,Cagliari - 005
2024-08-15 17:30:00,7839,Cagliari - 006
2024-08-15 17:30:00,10768,Cagliari - 002
2024-08-15 17:30:00,2437,Cagliari - 003
2024-08-15 17:30:00,11458,Cagliari - 004
2024-08-15 17:30:00,19656,Cagliari - 001
2024-08-15 17:30:00,16015,Cagliari - 000
2024-08-15 17:15:00,132948,Intero Comune
2024-08-15 17:15:00,7888,Cagliari - 008
2024-08-15 17:15:00,7686,Cagliari - 011
2024-08-15 17:15:00,6401,Cagliari - 007
2024-08-15 17:15:00,13281,Cagliari - 010
2024-08-15 17:15:00,11032,Cagliari - 009
2024-08-15 17:15:00,9162,Cagliari - 012
2024-08-15 17:15:00,9314,Cagliari - 005
2024-08-15 17:15:00,7764,Cagliari - 006
2024-08-15 17:15:00,10722,Cagliari - 002
2024-08-15 17:15:00,2441,Cagliari - 003
2024-08-15 17:15:00,11552,Cagliari - 004
2024-08-15 17:15:00,19553,Cagliari - 001
2024-08-15 17:15:00,16152,Cagliari - 000
2024-08-15 17:00:00,132924,Intero Comune
2024-08-15 17:00:00,7885,Cagliari - 008
2024-08-15 17:00:00,7749,Cagliari - 011
2024-08-15 17:00:00,6298,Cagliari - 007
2024-08-15 17:00:00,13332,Cagliari - 010
2024-08-15 17:00:00,10993,Cagliari - 009
2024-08-15 17:00:00,9346,Cagliari - 012
2024-08-15 17:00:00,9250,Cagliari - 005
2024-08-15 17:00:00,7771,Cagliari - 006
2024-08-15 17:00:00,10764,Cagliari - 002
2024-08-15 17:00:00,2418,Cagliari - 003
2024-08-15 17:00:00,11427,Cagliari - 004
2024-08-15 17:00:00,19617,Cagliari - 001
2024-08-15 17:00:00,16074,Cagliari - 000
2024-08-15 16:45:00,132785,Intero Comune
2024-08-15 16:45:00,7868,Cagliari - 008
2024-08-15 16:45:00,7761,Cagliari - 011
2024-08-15 16:45:00,6352,Cagliari - 007
2024-08-15 16:45:00,13382,Cagliari - 010
2024-08-15 16:45:00,11004,Cagliari - 009
2024-08-15 16:45:00,9434,Cagliari - 012
2024-08-15 16:45:00,9066,Cagliari - 005
2024-08-15 16:45:00,7740,Cagliari - 006
2024-08-15 16:45:00,10751,Cagliari - 002
2024-08-15 16:45:00,2401,Cagliari - 003
2024-08-15 16:45:00,11359,Cagliari - 004
2024-08-15 16:45:00,19598,Cagliari - 001
2024-08-15 16:45:00,16069,Cagliari - 000
2024-08-15 16:30:00,132473,Intero Comune
2024-08-15 16:30:00,7711,Cagliari - 008
2024-08-15 16:30:00,7720,Cagliari - 011
2024-08-15 16:30:00,6229,Cagliari - 007
2024-08-15 16:30:00,13334,Cagliari - 010
2024-08-15 16:30:00,10929,Cagliari - 009
2024-08-15 16:30:00,9349,Cagliari - 012
2024-08-15 16:30:00,9191,Cagliari - 005
2024-08-15 16:30:00,7707,Cagliari - 006
2024-08-15 16:30:00,10868,Cagliari - 002
2024-08-15 16:30:00,2428,Cagliari - 003
2024-08-15 16:30:00,11268,Cagliari - 004
2024-08-15 16:30:00,19725,Cagliari - 001
2024-08-15 16:30:00,16014,Cagliari - 000
2024-08-15 16:15:00,132874,Intero Comune
2024-08-15 16:15:00,7794,Cagliari - 008
2024-08-15 16:15:00,7841,Cagliari - 011
2024-08-15 16:15:00,6232,Cagliari - 007
2024-08-15 16:15:00,13443,Cagliari - 010
2024-08-15 16:15:00,10902,Cagliari - 009
2024-08-15 16:15:00,9472,Cagliari - 012
2024-08-15 16:15:00,9157,Cagliari - 005
2024-08-15 16:15:00,7661,Cagliari - 006
2024-08-15 16:15:00,10767,Cagliari - 002
2024-08-15 16:15:00,2420,Cagliari - 003
2024-08-15 16:15:00,11244,Cagliari - 004
2024-08-15 16:15:00,19868,Cagliari - 001
2024-08-15 16:15:00,16073,Cagliari - 000
2024-08-15 16:00:00,133250,Intero Comune
2024-08-15 16:00:00,7786,Cagliari - 008
2024-08-15 16:00:00,7735,Cagliari - 011
2024-08-15 16:00:00,6336,Cagliari - 007
2024-08-15 16:00:00,13385,Cagliari - 010
2024-08-15 16:00:00,10882,Cagliari - 009
2024-08-15 16:00:00,9519,Cagliari - 012
2024-08-15 16:00:00,9106,Cagliari - 005
2024-08-15 16:00:00,7683,Cagliari - 006
2024-08-15 16:00:00,10838,Cagliari - 002
2024-08-15 16:00:00,2424,Cagliari - 003
2024-08-15 16:00:00,11295,Cagliari - 004
2024-08-15 16:00:00,20340,Cagliari - 001
2024-08-15 16:00:00,15921,Cagliari - 000
2024-08-15 15:45:00,133513,Intero Comune
2024-08-15 15:45:00,7880,Cagliari - 008
2024-08-15 15:45:00,7727,Cagliari - 011
2024-08-15 15:45:00,6294,Cagliari - 007
2024-08-15 15:45:00,13546,Cagliari - 010
2024-08-15 15:45:00,10862,Cagliari - 009
2024-08-15 15:45:00,9442,Cagliari - 012
2024-08-15 15:45:00,9182,Cagliari - 005
2024-08-15 15:45:00,7607,Cagliari - 006
2024-08-15 15:45:00,10710,Cagliari - 002
2024-08-15 15:45:00,2412,Cagliari - 003
2024-08-15 15:45:00,11334,Cagliari - 004
2024-08-15 15:45:00,20608,Cagliari - 001
2024-08-15 15:45:00,15909,Cagliari - 000
2024-08-15 15:30:00,134149,Intero Comune
2024-08-15 15:30:00,7925,Cagliari - 008
2024-08-15 15:30:00,7727,Cagliari - 011
2024-08-15 15:30:00,6229,Cagliari - 007
2024-08-15 15:30:00,13671,Cagliari - 010
2024-08-15 15:30:00,10824,Cagliari - 009
2024-08-15 15:30:00,9711,Cagliari - 012
2024-08-15 15:30:00,9191,Cagliari - 005
2024-08-15 15:30:00,7507,Cagliari - 006
2024-08-15 15:30:00,10686,Cagliari - 002
2024-08-15 15:30:00,2421,Cagliari - 003
2024-08-15 15:30:00,11363,Cagliari - 004
2024-08-15 15:30:00,20894,Cagliari - 001
2024-08-15 15:30:00,16000,Cagliari - 000
2024-08-15 15:15:00,134125,Intero Comune
2024-08-15 15:15:00,7894,Cagliari - 008
2024-08-15 15:15:00,7656,Cagliari - 011
2024-08-15 15:15:00,6131,Cagliari - 007
2024-08-15 15:15:00,13802,Cagliari - 010
2024-08-15 15:15:00,10871,Cagliari - 009
2024-08-15 15:15:00,9299,Cagliari - 012
2024-08-15 15:15:00,9188,Cagliari - 005
2024-08-15 15:15:00,7520,Cagliari - 006
2024-08-15 15:15:00,10872,Cagliari - 002
2024-08-15 15:15:00,2431,Cagliari - 003
2024-08-15 15:15:00,11428,Cagliari - 004
2024-08-15 15:15:00,21278,Cagliari - 001
2024-08-15 15:15:00,15755,Cagliari - 000
2024-08-15 15:00:00,134384,Intero Comune
2024-08-15 15:00:00,7866,Cagliari - 008
2024-08-15 15:00:00,7654,Cagliari - 011
2024-08-15 15:00:00,6191,Cagliari - 007
2024-08-15 15:00:00,13756,Cagliari - 010
2024-08-15 15:00:00,10929,Cagliari - 009
2024-08-15 15:00:00,9258,Cagliari - 012
2024-08-15 15:00:00,9187,Cagliari - 005
2024-08-15 15:00:00,7510,Cagliari - 006
2024-08-15 15:00:00,10890,Cagliari - 002
2024-08-15 15:00:00,2406,Cagliari - 003
2024-08-15 15:00:00,11527,Cagliari - 004
2024-08-15 15:00:00,21461,Cagliari - 001
2024-08-15 15:00:00,15749,Cagliari - 000
2024-08-15 14:45:00,134817,Intero Comune
2024-08-15 14:45:00,7882,Cagliari - 008
2024-08-15 14:45:00,7674,Cagliari - 011
2024-08-15 14:45:00,6094,Cagliari - 007
2024-08-15 14:45:00,13880,Cagliari - 010
2024-08-15 14:45:00,11026,Cagliari - 009
2024-08-15 14:45:00,9224,Cagliari - 012
2024-08-15 14:45:00,9286,Cagliari - 005
2024-08-15 14:45:00,7560,Cagliari - 006
2024-08-15 14:45:00,10902,Cagliari - 002
2024-08-15 14:45:00,2440,Cagliari - 003
2024-08-15 14:45:00,11568,Cagliari - 004
2024-08-15 14:45:00,21511,Cagliari - 001
2024-08-15 14:45:00,15770,Cagliari - 000
2024-08-15 14:30:00,135418,Intero Comune
2024-08-15 14:30:00,7953,Cagliari - 008
2024-08-15 14:30:00,7819,Cagliari - 011
2024-08-15 14:30:00,6179,Cagliari - 007
2024-08-15 14:30:00,13976,Cagliari - 010
2024-08-15 14:30:00,11078,Cagliari - 009
2024-08-15 14:30:00,9271,Cagliari - 012
2024-08-15 14:30:00,9308,Cagliari - 005
2024-08-15 14:30:00,7530,Cagliari - 006
2024-08-15 14:30:00,10879,Cagliari - 002
2024-08-15 14:30:00,2468,Cagliari - 003
2024-08-15 14:30:00,11669,Cagliari - 004
2024-08-15 14:30:00,21545,Cagliari - 001
2024-08-15 14:30:00,15743,Cagliari - 000
2024-08-15 14:15:00,135769,Intero Comune
2024-08-15 14:15:00,7902,Cagliari - 008
2024-08-15 14:15:00,7738,Cagliari - 011
2024-08-15 14:15:00,6198,Cagliari - 007
2024-08-15 14:15:00,13878,Cagliari - 010
2024-08-15 14:15:00,10961,Cagliari - 009
2024-08-15 14:15:00,9289,Cagliari - 012
2024-08-15 14:15:00,9289,Cagliari - 005
2024-08-15 14:15:00,7543,Cagliari - 006
2024-08-15 14:15:00,11193,Cagliari - 002
2024-08-15 14:15:00,2462,Cagliari - 003
2024-08-15 14:15:00,11780,Cagliari - 004
2024-08-15 14:15:00,21749,Cagliari - 001
2024-08-15 14:15:00,15787,Cagliari - 000
2024-08-15 14:00:00,135677,Intero Comune
2024-08-15 14:00:00,7959,Cagliari - 008
2024-08-15 14:00:00,7724,Cagliari - 011
2024-08-15 14:00:00,6053,Cagliari - 007
2024-08-15 14:00:00,13963,Cagliari - 010
2024-08-15 14:00:00,11005,Cagliari - 009
2024-08-15 14:00:00,9126,Cagliari - 012
2024-08-15 14:00:00,9313,Cagliari - 005
2024-08-15 14:00:00,7624,Cagliari - 006
2024-08-15 14:00:00,11110,Cagliari - 002
2024-08-15 14:00:00,2463,Cagliari - 003
2024-08-15 14:00:00,11833,Cagliari - 004
2024-08-15 14:00:00,21774,Cagliari - 001
2024-08-15 14:00:00,15730,Cagliari - 000
2024-08-15 13:45:00,135454,Intero Comune
