datetime,value,areaAnalisi
2024-09-15 19:45:00,12581,Cagliari - 005
2024-09-15 19:45:00,26866,Cagliari - 001
2024-09-15 19:30:00,190678,Intero Comune
2024-09-15 19:30:00,22008,Cagliari - 010
2024-09-15 19:30:00,16349,Cagliari - 004
2024-09-15 19:30:00,16902,Cagliari - 009
2024-09-15 19:30:00,11246,Cagliari - 008
2024-09-15 19:30:00,10349,Cagliari - 006
2024-09-15 19:30:00,9015,Cagliari - 007
2024-09-15 19:30:00,5313,Cagliari - 012
2024-09-15 19:30:00,21355,Cagliari - 011
2024-09-15 19:30:00,16024,Cagliari - 002
2024-09-15 19:30:00,19393,Cagliari - 000
2024-09-15 19:30:00,3451,Cagliari - 003
2024-09-15 19:30:00,12537,Cagliari - 005
2024-09-15 19:30:00,26736,Cagliari - 001
2024-09-15 19:15:00,189524,Intero Comune
2024-09-15 19:15:00,21841,Cagliari - 010
2024-09-15 19:15:00,16470,Cagliari - 004
2024-09-15 19:15:00,16709,Cagliari - 009
2024-09-15 19:15:00,11171,Cagliari - 008
2024-09-15 19:15:00,10157,Cagliari - 006
2024-09-15 19:15:00,8958,Cagliari - 007
2024-09-15 19:15:00,5498,Cagliari - 012
2024-09-15 19:15:00,21376,Cagliari - 011
2024-09-15 19:15:00,15972,Cagliari - 002
2024-09-15 19:15:00,19294,Cagliari - 000
2024-09-15 19:15:00,3358,Cagliari - 003
2024-09-15 19:15:00,12244,Cagliari - 005
2024-09-15 19:15:00,26476,Cagliari - 001
2024-09-15 19:00:00,188529,Intero Comune
2024-09-15 19:00:00,21750,Cagliari - 010
2024-09-15 19:00:00,16398,Cagliari - 004
2024-09-15 19:00:00,16572,Cagliari - 009
2024-09-15 19:00:00,11118,Cagliari - 008
2024-09-15 19:00:00,10194,Cagliari - 006
2024-09-15 19:00:00,8913,Cagliari - 007
2024-09-15 19:00:00,5686,Cagliari - 012
2024-09-15 19:00:00,21427,Cagliari - 011
2024-09-15 19:00:00,15889,Cagliari - 002
2024-09-15 19:00:00,19342,Cagliari - 000
2024-09-15 19:00:00,3323,Cagliari - 003
2024-09-15 19:00:00,12062,Cagliari - 005
2024-09-15 19:00:00,25855,Cagliari - 001
2024-09-15 18:45:00,187853,Intero Comune
2024-09-15 18:45:00,21600,Cagliari - 010
2024-09-15 18:45:00,16210,Cagliari - 004
2024-09-15 18:45:00,16274,Cagliari - 009
2024-09-15 18:45:00,11129,Cagliari - 008
2024-09-15 18:45:00,10160,Cagliari - 006
2024-09-15 18:45:00,8874,Cagliari - 007
2024-09-15 18:45:00,5951,Cagliari - 012
2024-09-15 18:45:00,21265,Cagliari - 011
2024-09-15 18:45:00,15933,Cagliari - 002
2024-09-15 18:45:00,19460,Cagliari - 000
2024-09-15 18:45:00,3394,Cagliari - 003
2024-09-15 18:45:00,12001,Cagliari - 005
2024-09-15 18:45:00,25602,Cagliari - 001
2024-09-15 18:30:00,186573,Intero Comune
2024-09-15 18:30:00,21413,Cagliari - 010
2024-09-15 18:30:00,15939,Cagliari - 004
2024-09-15 18:30:00,16148,Cagliari - 009
2024-09-15 18:30:00,11033,Cagliari - 008
2024-09-15 18:30:00,10147,Cagliari - 006
2024-09-15 18:30:00,8999,Cagliari - 007
2024-09-15 18:30:00,6084,Cagliari - 012
2024-09-15 18:30:00,21361,Cagliari - 011
2024-09-15 18:30:00,15776,Cagliari - 002
2024-09-15 18:30:00,19262,Cagliari - 000
2024-09-15 18:30:00,3299,Cagliari - 003
2024-09-15 18:30:00,11921,Cagliari - 005
2024-09-15 18:30:00,25191,Cagliari - 001
2024-09-15 18:15:00,185721,Intero Comune
2024-09-15 18:15:00,21205,Cagliari - 010
2024-09-15 18:15:00,15857,Cagliari - 004
2024-09-15 18:15:00,15980,Cagliari - 009
2024-09-15 18:15:00,10863,Cagliari - 008
2024-09-15 18:15:00,10091,Cagliari - 006
2024-09-15 18:15:00,8925,Cagliari - 007
2024-09-15 18:15:00,6516,Cagliari - 012
2024-09-15 18:15:00,21243,Cagliari - 011
2024-09-15 18:15:00,15738,Cagliari - 002
2024-09-15 18:15:00,19235,Cagliari - 000
2024-09-15 18:15:00,3286,Cagliari - 003
2024-09-15 18:15:00,11883,Cagliari - 005
2024-09-15 18:15:00,24899,Cagliari - 001
2024-09-15 18:00:00,184719,Intero Comune
2024-09-15 18:00:00,21049,Cagliari - 010
2024-09-15 18:00:00,15951,Cagliari - 004
2024-09-15 18:00:00,15806,Cagliari - 009
2024-09-15 18:00:00,10751,Cagliari - 008
2024-09-15 18:00:00,10096,Cagliari - 006
2024-09-15 18:00:00,8758,Cagliari - 007
2024-09-15 18:00:00,6797,Cagliari - 012
2024-09-15 18:00:00,21154,Cagliari - 011
2024-09-15 18:00:00,15671,Cagliari - 002
2024-09-15 18:00:00,19210,Cagliari - 000
2024-09-15 18:00:00,3350,Cagliari - 003
2024-09-15 18:00:00,11723,Cagliari - 005
2024-09-15 18:00:00,24403,Cagliari - 001
2024-09-15 17:45:00,183549,Intero Comune
2024-09-15 17:45:00,20816,Cagliari - 010
2024-09-15 17:45:00,15708,Cagliari - 004
2024-09-15 17:45:00,15690,Cagliari - 009
2024-09-15 17:45:00,10685,Cagliari - 008
2024-09-15 17:45:00,10009,Cagliari - 006
2024-09-15 17:45:00,8690,Cagliari - 007
2024-09-15 17:45:00,7101,Cagliari - 012
2024-09-15 17:45:00,21025,Cagliari - 011
2024-09-15 17:45:00,15419,Cagliari - 002
2024-09-15 17:45:00,19509,Cagliari - 000
2024-09-15 17:45:00,3309,Cagliari - 003
2024-09-15 17:45:00,11770,Cagliari - 005
2024-09-15 17:45:00,23818,Cagliari - 001
2024-09-15 17:30:00,182835,Intero Comune
2024-09-15 17:30:00,20689,Cagliari - 010
2024-09-15 17:30:00,15743,Cagliari - 004
2024-09-15 17:30:00,15554,Cagliari - 009
2024-09-15 17:30:00,10590,Cagliari - 008
2024-09-15 17:30:00,9941,Cagliari - 006
2024-09-15 17:30:00,8719,Cagliari - 007
