Time,PM2.5_Sensor1,PM2.5_Sensor2,PM2.5_Sensor3,PM10_Sensor1,PM10_Sensor2,PM10_Sensor3
2024-08-02 23:00:00,2.6999999999999997,3.533333333333333,2.8833333333333333,11.5,9.616666666666667,10.416666666666666
2024-08-03 00:00:00,3.066666666666667,3.7833333333333337,3.1166666666666667,11.383333333333333,9.966666666666667,9.6
2024-08-03 01:00:00,2.9500000000000006,3.7833333333333337,3.1833333333333336,11.366666666666667,8.283333333333333,8.416666666666666
2024-08-03 02:00:00,2.5666666666666664,3.2999999999999994,2.6666666666666665,6.283333333333332,7.683333333333334,6.133333333333333
2024-08-03 03:00:00,3.2500000000000004,4.116666666666666,2.8666666666666667,8.4,10.816666666666665,9.549999999999999
2024-08-03 04:00:00,3.066666666666667,3.8166666666666664,2.6666666666666665,8.9,8.683333333333332,7.083333333333332
2024-08-03 05:00:00,2.8333333333333335,3.766666666666667,2.433333333333333,10.416666666666666,9.916666666666666,8.666666666666666
2024-08-03 06:00:00,3.183333333333333,3.916666666666666,2.9333333333333336,10.35,11.766666666666666,9.25
2024-08-03 07:00:00,3.983333333333334,4.55,3.8166666666666664,15.766666666666666,18.333333333333332,14.183333333333332
2024-08-03 08:00:00,3.6833333333333336,4.016666666666667,3.016666666666667,14.333333333333334,12.166666666666666,12.666666666666666
2024-08-03 09:00:00,5.650000000000001,5.8999999999999995,4.283333333333333,14.916666666666666,15.166666666666666,11.433333333333332
2024-08-03 10:00:00,3.983333333333333,4.516666666666667,3.983333333333333,14.833333333333334,14.333333333333334,13.166666666666666
2024-08-03 11:00:00,3.3666666666666667,4.5,3.0833333333333335,11.733333333333334,15.833333333333334,9.25
2024-08-03 12:00:00,3.0500000000000003,4.333333333333333,2.8166666666666664,9.716666666666667,14.5,10.233333333333333
2024-08-03 13:00:00,2.85,3.933333333333333,2.966666666666667,10.766666666666667,11.133333333333333,10.483333333333333
2024-08-03 14:00:00,3.233333333333333,3.75,2.966666666666667,10.433333333333334,11.766666666666666,10.6
2024-08-03 15:00:00,3.15,3.6500000000000004,2.716666666666667,11.033333333333333,10.233333333333334,10.3
2024-08-03 16:00:00,2.983333333333334,3.8000000000000003,2.6333333333333333,10.316666666666668,11.0,8.433333333333335
2024-08-03 17:00:00,3.1666666666666665,3.8000000000000003,2.7000000000000006,9.883333333333333,11.0,8.733333333333334
2024-08-03 18:00:00,3.783333333333333,3.8000000000000003,3.1,11.033333333333333,11.0,9.516666666666666
2024-08-03 19:00:00,4.916666666666667,3.8000000000000003,3.9166666666666665,15.333333333333334,11.0,14.85
2024-08-03 20:00:00,5.933333333333334,3.8000000000000003,4.7,17.166666666666668,11.0,12.950000000000001
2024-08-03 21:00:00,5.683333333333333,3.8000000000000003,5.183333333333333,14.5,11.0,12.666666666666666
2024-08-03 22:00:00,5.949999999999999,3.8000000000000003,5.083333333333333,15.166666666666666,11.0,12.816666666666668
2024-08-03 23:00:00,5.383333333333333,3.8000000000000003,5.016666666666667,15.833333333333334,11.0,14.433333333333332
2024-08-04 00:00:00,5.45,3.8000000000000003,5.083333333333333,17.833333333333332,11.0,14.833333333333334
2024-08-04 01:00:00,5.6499999999999995,3.8000000000000003,4.616666666666666,18.666666666666668,11.0,14.166666666666666
2024-08-04 02:00:00,5.566666666666667,3.8000000000000003,4.3999999999999995,17.0,11.0,12.833333333333334
2024-08-04 03:00:00,5.883333333333333,3.8000000000000003,4.833333333333333,18.5,11.0,15.0
2024-08-04 04:00:00,5.733333333333333,3.8000000000000003,4.8500000000000005,18.666666666666668,11.0,14.833333333333334
2024-08-04 05:00:00,5.366666666666667,3.8000000000000003,5.05,14.666666666666666,11.0,14.333333333333334
2024-08-04 06:00:00,5.766666666666667,3.8000000000000003,4.516666666666667,18.5,11.0,13.666666666666666
2024-08-04 07:00:00,5.566666666666666,3.8000000000000003,4.816666666666667,16.333333333333332,11.0,16.833333333333332
2024-08-04 08:00:00,5.883333333333333,3.8000000000000003,4.583333333333334,18.5,11.0,12.5
2024-08-04 09:00:00,5.666666666666667,3.8000000000000003,4.333333333333333,17.833333333333332,11.0,12.35
2024-08-04 10:00:00,4.7,3.8000000000000003,4.133333333333334,11.283333333333333,11.0,11.399999999999999
2024-08-04 11:00:00,4.966666666666666,3.8000000000000003,4.3999999999999995,10.166666666666666,11.0,10.0
2024-08-04 12:00:00,5.233333333333333,3.8000000000000003,4.45,9.65,11.0,7.683333333333334
2024-08-04 13:00:00,5.183333333333334,3.8000000000000003,4.6,9.983333333333334,11.0,7.816666666666667
