"Time","Sensor1","Sensor2","Sensor3"
2024-08-03 20:30:00,16,11,14
2024-08-03 20:40:00,21,11,18
2024-08-03 20:50:00,21,11,13
2024-08-03 21:00:00,12,11,
2024-08-03 21:10:00,,11,10
2024-08-03 21:20:00,13,11,11
2024-08-03 21:30:00,22,11,13
2024-08-03 21:40:00,14,11,15
2024-08-03 21:50:00,14,11,14
2024-08-03 22:00:00,13,11,16
2024-08-03 22:10:00,20,11,8.9
2024-08-03 22:20:00,12,11,14
2024-08-03 22:30:00,13,11,12
2024-08-03 22:40:00,14,11,12
2024-08-03 22:50:00,19,11,14
2024-08-03 23:00:00,19,11,14
2024-08-03 23:10:00,15,11,14
2024-08-03 23:20:00,19,11,9.6
2024-08-03 23:30:00,14,11,13
2024-08-03 23:40:00,14,11,17
2024-08-03 23:50:00,14,11,19
2024-08-04 00:00:00,16,11,13
2024-08-04 00:10:00,11,11,13
2024-08-04 00:20:00,17,11,16
2024-08-04 00:30:00,25,11,16
2024-08-04 00:40:00,18,11,14
2024-08-04 00:50:00,20,11,17
2024-08-04 01:00:00,26,11,19
2024-08-04 01:10:00,15,11,15
2024-08-04 01:20:00,22,11,14
2024-08-04 01:30:00,15,11,14
2024-08-04 01:40:00,19,11,12
2024-08-04 01:50:00,15,11,11
2024-08-04 02:00:00,17,11,12
2024-08-04 02:10:00,18,11,13
2024-08-04 02:20:00,21,11,13
2024-08-04 02:30:00,17,11,16
2024-08-04 02:40:00,14,11,12
2024-08-04 02:50:00,15,11,11
2024-08-04 03:00:00,18,11,14
2024-08-04 03:10:00,15,11,18
2024-08-04 03:20:00,21,11,15
2024-08-04 03:30:00,20,11,15
2024-08-04 03:40:00,19,11,15
2024-08-04 03:50:00,18,11,13
2024-08-04 04:00:00,17,11,15
2024-08-04 04:10:00,18,11,16
2024-08-04 04:20:00,19,11,13
2024-08-04 04:30:00,20,11,16
2024-08-04 04:40:00,19,11,16
2024-08-04 04:50:00,19,11,13
2024-08-04 05:00:00,13,11,14
2024-08-04 05:10:00,11,11,11
2024-08-04 05:20:00,16,11,14
2024-08-04 05:30:00,18,11,16
2024-08-04 05:40:00,13,11,15
2024-08-04 05:50:00,17,11,16
2024-08-04 06:00:00,20,11,14
2024-08-04 06:10:00,22,11,17
2024-08-04 06:20:00,13,11,17
2024-08-04 06:30:00,19,11,12
2024-08-04 06:40:00,20,11,11
2024-08-04 06:50:00,17,11,11
2024-08-04 07:00:00,16,11,16
2024-08-04 07:10:00,19,11,19
2024-08-04 07:20:00,12,11,15
2024-08-04 07:30:00,17,11,11
2024-08-04 07:40:00,16,11,15
2024-08-04 07:50:00,18,11,25
2024-08-04 08:00:00,22,11,14
2024-08-04 08:10:00,16,11,13
2024-08-04 08:20:00,15,11,10
2024-08-04 08:30:00,17,11,13
2024-08-04 08:40:00,21,11,13
2024-08-04 08:50:00,20,11,12
2024-08-04 09:00:00,,11,15
2024-08-04 09:10:00,16,11,11
2024-08-04 09:20:00,22,11,15
2024-08-04 09:30:00,13,11,11
2024-08-04 09:40:00,19,11,13
2024-08-04 09:50:00,17,11,9.1
2024-08-04 10:00:00,10,11,12
2024-08-04 10:10:00,,11,14
2024-08-04 10:20:00,14,11,10
2024-08-04 10:30:00,13,11,16
2024-08-04 10:40:00,8.7,11,8.8
2024-08-04 10:50:00,12,11,7.6
2024-08-04 11:00:00,12,11,12
2024-08-04 11:10:00,12,11,10
2024-08-04 11:20:00,10,11,11
2024-08-04 11:30:00,,11,10
2024-08-04 11:40:00,8.4,11,9.6
2024-08-04 11:50:00,8.6,11,7.4
2024-08-04 12:00:00,,,
2024-08-04 12:10:00,12,11,7.6
2024-08-04 12:20:00,7.3,11,8.5
2024-08-04 12:30:00,8.3,11,6.3
2024-08-04 12:40:00,13,11,8.2
2024-08-04 12:50:00,8.7,11,8.1
2024-08-04 13:00:00,10,11,10
2024-08-04 13:10:00,11,11,5.5
2024-08-04 13:20:00,9.5,11,6.5
2024-08-04 13:30:00,9.7,11,7.8
2024-08-04 13:40:00,10,11,8.8
2024-08-04 13:50:00,9.7,11,8.3
2024-08-04 14:00:00,11,11,6.1
2024-08-04 14:10:00,11,11,7.3
2024-08-04 14:20:00,8.7,11,6
2024-08-04 14:30:00,12,11,6.7
2024-08-04 14:40:00,8.8,11,7.8
2024-08-04 14:50:00,7.2,11,8.3
2024-08-04 15:00:00,8.1,11,8.8
2024-08-04 15:10:00,12,11,8.3
2024-08-04 15:20:00,8.1,11,6.1
2024-08-04 15:30:00,11,11,8.4
2024-08-04 15:40:00,8.6,11,
2024-08-04 15:50:00,10,11,
2024-08-04 16:00:00,9.7,11,
2024-08-04 16:10:00,8.4,11,
2024-08-04 16:20:00,8.2,11,
2024-08-04 16:30:00,8.5,11,
2024-08-04 16:40:00,8.2,11,
2024-08-04 16:50:00,12,11,6.1
2024-08-04 17:00:00,11,11,11
2024-08-04 17:10:00,14,11,12
2024-08-04 17:20:00,,,13
2024-08-04 17:30:00,,,11
2024-08-04 17:40:00,20,,
2024-08-04 17:50:00,11,,11
2024-08-04 18:00:00,20,17,8.8
2024-08-04 18:10:00,15,17,7.4
2024-08-04 18:20:00,19,12,13
2024-08-04 18:30:00,11,16,8.5
2024-08-04 18:40:00,12,12,8.9
2024-08-04 18:50:00,12,15,13
